Survey,Year,Quarter,Area,SubArea,AphiaID,Species,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,DateofCalculation
BITS,2016,1,21,10,126436,Gadus morhua,0.0000,0.1100,1.2114,2.8786,0.3321,0.4429,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,21,11,126436,Gadus morhua,0.0000,0.0000,11.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,21,9,126436,Gadus morhua,0.0000,3.0850,12.4768,4.1093,15.6222,10.1925,0.4372,0.2385,0.0000,0.0000,0.0000,20210325
BITS,2016,1,22,8,126436,Gadus morhua,0.0000,0.7927,2.4495,0.3623,1.2217,0.4066,0.2035,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,22,9,126436,Gadus morhua,0.0000,0.5156,9.0246,17.3268,8.6266,2.6324,0.8073,0.1292,0.0000,0.0000,0.0000,20210325
BITS,2016,1,23,8,126436,Gadus morhua,0.0000,0.0000,268.1930,249.2673,157.4594,15.4475,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,23,9,126436,Gadus morhua,0.0000,0.0000,4.1333,4.1333,21.8033,13.3300,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,24,10,126436,Gadus morhua,0.0000,59.5352,542.4321,386.0173,160.3287,28.6064,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,24,8,126436,Gadus morhua,0.0000,0.6769,13.7153,12.4903,7.0584,1.6284,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,24,9,126436,Gadus morhua,0.0000,2.9622,164.5344,115.1428,39.3745,6.8397,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,25,10,126436,Gadus morhua,0.0000,14.6101,812.8602,1006.7113,409.5110,44.9142,3.1815,0.8356,0.4105,0.0000,0.0000,20210325
BITS,2016,1,25,11,126436,Gadus morhua,0.0000,2.4045,471.3065,741.4253,337.7787,31.0903,1.7542,0.6313,0.1609,0.0000,0.0000,20210325
BITS,2016,1,25,12,126436,Gadus morhua,0.0000,0.1307,102.5511,559.5214,372.1699,37.1211,2.1522,0.9492,0.4103,0.0000,0.0000,20210325
BITS,2016,1,25,9,126436,Gadus morhua,0.0000,0.3333,7.6231,169.2835,149.6269,13.9647,0.7401,0.2062,0.0556,0.0000,0.0000,20210325
BITS,2016,1,26,10,126436,Gadus morhua,0.0000,13.5377,54.4081,102.5322,75.4754,40.1254,10.2691,0.9212,0.1000,0.0909,0.0000,20210325
BITS,2016,1,26,11,126436,Gadus morhua,0.0000,2.8619,327.1865,233.5667,117.6147,64.6572,13.1927,0.6293,0.0000,0.1885,0.0000,20210325
BITS,2016,1,26,12,126436,Gadus morhua,0.0000,1.6784,198.0688,443.6176,251.4913,145.6538,28.7454,1.4291,0.0000,0.2567,0.0000,20210325
BITS,2016,1,26,13,126436,Gadus morhua,0.0000,0.0000,18.0693,138.4916,98.9061,65.1746,13.7912,2.4763,0.2500,0.0909,0.0000,20210325
BITS,2016,1,26,14,126436,Gadus morhua,0.0000,0.0000,109.0431,602.6877,503.1201,297.6571,80.7757,8.3526,0.0000,2.3636,0.0000,20210325
BITS,2016,1,26,9,126436,Gadus morhua,0.0000,2.5296,44.6882,54.4517,28.5805,13.0739,3.5303,0.2386,0.0000,0.0404,0.0000,20210325
BITS,2016,1,27,11,126436,Gadus morhua,0.0000,0.0000,18.0833,15.3333,5.5833,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,27,12,126436,Gadus morhua,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,27,13,126436,Gadus morhua,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,28,10,126436,Gadus morhua,0.0000,1.0000,4.1667,3.0000,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,28,11,126436,Gadus morhua,0.0000,0.4444,18.5555,7.0370,3.6296,2.2222,1.0000,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,28,12,126436,Gadus morhua,0.0000,0.0000,0.5714,1.6667,0.8571,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2016,1,28,9,126436,Gadus morhua,0.0000,0.3333,0.5833,0.9167,0.3889,0.5556,0.2222,0.0000,0.0000,0.0000,0.0000,20210325
BITS,2017,1,21,10,126436,Gadus morhua,0.0000,23.0804,1.1696,0.0000,1.3286,0.2214,0.0000,0.0000,0.0000,0.0000,0.0000,20210329
BITS,2017,1,21,11,126436,Gadus morhua,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20210329
BITS,2017,1,21,12,126436,Gadus morhua,0.0000,358.0151,9.3849,0.0000,3.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20210329
BITS,2017,1,21,9,126436,Gadus morhua,0.0000,114.2486,4.7201,6.1709,17.1868,9.1829,2.0598,0.0000,0.0000,0.0000,0.0000,20210329
BITS,2017,1,22,8,126436,Gadus morhua,0.0000,76.4553,1.8243,6.8588,1.0707,0.3321,0.0000,0.0000,0.0000,0.0000,0.0000,20210329
BITS,2017,1,22,9,126436,Gadus morhua,0.0000,155.3844,6.0464,23.9534,9.7277,5.7534,0.8912,0.4133,0.4650,0.0000,0.0000,20210329
BITS,2017,1,23,8,126436,Gadus morhua,0.0000,466.1230,32.5758,956.8861,156.5451,10.1928,0.0000,0.0000,0.0000,0.0000,0.0000,20210329
BITS,2017,1,23,9,126436,Gadus morhua,0.0000,215.9333,31.2361,675.9550,73.6422,12.4000,2.0667,0.0000,0.0000,0.0000,0.0000,20210329
BITS,2017,1,24,10,126436,Gadus morhua,0.0000,227.1526,266.0931,419.7619,175.8958,105.8704,5.0645,1.7584,1.4326,0.0000,0.0000,20210329
BITS,2017,1,24,8,126436,Gadus morhua,0.0000,82.7915,26.1053,13.9712,8.7497,7.6088,0.4413,0.1845,0.1476,0.0000,0.0000,20210329
BITS,2017,1,24,9,126436,Gadus morhua,0.0000,145.3896,103.2773,128.7560,59.0659,33.4299,1.0409,0.4780,0.1879,0.0000,0.0000,20210329
BITS,2017,1,25,10,126436,Gadus morhua,0.0000,37.1446,254.0686,294.0697,110.0476,25.7605,4.1820,0.4504,0.0603,0.0000,0.0000,20210329
BITS,2017,1,25,11,126436,Gadus morhua,0.0000,17.1578,201.4282,416.4913,220.4602,51.3179,8.2119,0.5067,0.0523,0.0000,0.0000,20210329
BITS,2017,1,25,12,126436,Gadus morhua,0.0000,0.7181,49.7209,276.5514,236.6474,69.7038,12.2803,0.9740,0.2775,0.0000,0.0000,20210329
