Status;NrHaul;RectangleAlpha;ICES SD;Latitude1_deg;Latitude1_dec_min;Longitude1_deg;Longitude1_dec_min;Latitude2_deg;Latitude2_dec_min;Longitude2_deg;Longitude2_dec_min;Latitude3_deg;Latitude3_dec_min;Longitude3_deg;Longitude3_dec_min;Latitude4_deg;Latitude4_dec_min;Longitude4_deg;Longitude4_dec_min;Latitude5_deg;Latitude5_dec_min;Longitude5_deg;Longitude5_dec_min;Latitude6_deg;Latitude6_dec_min;Longitude6_deg;Longitude6_dec_min;Latitude7_deg;Latitude7_dec_min;Longitude7_deg;Longitude7_dec_min;Latitude8_deg;Latitude8_dec_min;Longitude8_deg;Longitude8_dec_min;Latitude9_deg;Latitude9_dec_min;Longitude9_deg;Longitude9_dec_min;Latitude10_deg;Latitude10_dec_min;Longitude10_deg;Longitude10_dec_min;0;Mean_Depth;Depth1;Depth2;Depth3;Depth4;Depth5;Depth6;Depth7;Depth8;Depth9;Depth10;Source;EEZ;NM12;Rope;Direction;Distance;0;0;Dist;Layer;Latitude_end_deg;Latitude_end_dec_min;Longitude_end_deg;Longitude_end_dec_min;;
V;22002;37G1;22;54;11,27;11;55,26;54;11,19;11;49,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;19;17;;;;;;;;;German R/V;GFR;No;1;1;3,37720131;;2;3,37720131;2;54;11,19;11;49,49;;
V;22003;37G1;22;54;11,8;11;53,4;54;14,2;11;53,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;19;19;;;;;;;;;Havfisken;GFR;No;;1;2,402847472;;2;2,402847472;2;54;14,2;11;53,2;;
V;22004;37G0;22;54;26,5;10;39,66;54;27,31;10;35,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;18;18;;;;;;;;;German R/V;GFR;No;1;1;2,523245588;;2;2,523245588;2;54;27,31;10;35,55;;
V;22005;37G0;22;54;24,24;10;45,27;54;25,45;10;43,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;17;17;;;;;;;;;Havfisken;GFR;No;;1;1,559254268;;1;1,559254268;2;54;25,45;10;43,58;;
I;22006;37G0;22;54;29,8;10;41,2;54;27,7;10;42,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;19;19;;;;;;;;;Havfisken;GFR;No;;;2,252025088;;2;2,252025088;2;54;27,7;10;42,6;;
V;22007;37G1;22;54;27,13;11;23,18;54;23,17;11;22,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;16;15;;;;;;;;;German R/V;GFR;No;1;1;3,997592151;;2;3,997592151;2;54;23,17;11;22,24;;
V;22008;37G1;22;54;20,8;11;55,3;54;18,5;11;55,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;19;19;;;;;;;;;Havfisken;GFR;No;;;2,300739154;;2;2,300739154;2;54;18,5;11;55,4;;
V;22011;38G0;22;54;34,55;10;10,19;54;33,53;10;14,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;18;17;;;;;;;;;German R/V;GFR;No;1;;2,496299408;;2;2,496299408;2;54;33,53;10;14,12;;
V;22012;37G1;22;54;25,22;11;31,07;54;23,61;11;30,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;Solea;GFR;No;;;;;2;1,63928511;2;54;23,61;11;30,54;;
V;22013;38G1;22;54;31,38;11;19,27;54;30,17;11;21,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;24;14;;;;;;;;;German R/V;GFR;No;;;1,645122169;;2;1,645122169;2;54;30,17;11;21,19;;
