NrHaul;Status;Dist;Mean_Depth;Layer;EEZ;NM12;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7;lat8;lon8;lat9;lon9;lat10;lon10;lat_end;lon_end;geometry;length;Area
22002;V;3,37720131;18;2;GFR;No;54,1908333333333;11,9238888888889;54,1886111111111;11,8302777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,1886111111111;11,8302777777778;c(11.9238888888889, 11.8302777777778, 54.1908333333333, 54.1886111111111);6115,67854986282;22
22003;V;2,402847472;19;2;GFR;No;54,1855555555556;11,8844444444444;54,2338888888889;11,8838888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,2338888888889;11,8838888888889;c(11.8844444444444, 11.8838888888889, 54.1855555555556, 54.2338888888889);5380,0525846101;22
22004;V;2,523245588;18;2;GFR;No;54,4347222222222;10,6683333333333;54,4586111111111;10,5986111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4586111111111;10,5986111111111;c(10.6683333333333, 10.5986111111111, 54.4347222222222, 54.4586111111111);5246,77500144311;22
22005;V;1,559254268;17;2;GFR;No;54,4066666666667;10,7575;54,4291666666667;10,7327777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4291666666667;10,7327777777778;c(10.7575, 10.7327777777778, 54.4066666666667, 54.4291666666667);2974,62662374437;22
22006;I;2,252025088;19;2;GFR;No;54,4855555555556;10,6838888888889;54,4519444444445;10,7016666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4519444444445;10,7016666666667;c(10.6838888888889, 10.7016666666667, 54.4855555555556, 54.4519444444445);3914,91004404439;22
22007;V;3,997592151;16;2;GFR;No;54,4536111111111;11,3883333333333;54,3880555555556;11,3733333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3880555555556;11,3733333333333;c(11.3883333333333, 11.3733333333333, 54.4536111111111, 54.3880555555556);7361,84897368053;22
22008;V;2,300739154;19;2;GFR;No;54,3355555555556;11,9175;54,3013888888889;11,9177777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,3013888888889;11,9177777777778;c(11.9175, 11.9177777777778, 54.3355555555556, 54.3013888888889);3803,1662915677;22
22011;V;2,496299408;20;2;GFR;No;54,5819444444444;10,1719444444444;54,5647222222222;10,2366666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,5647222222222;10,2366666666667;c(10.1719444444444, 10.2366666666667, 54.5819444444444, 54.5647222222222);4603,82154530621;22
22012;V;1,63928511;25;2;GFR;No;54,4227777777778;11,5186111111111;54,4002777777778;11,515;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,4002777777778;11,515;c(11.5186111111111, 11.515, 54.4227777777778, 54.4002777777778);2515,48513234441;22
22013;V;1,645122169;28;2;GFR;No;54,5272222222222;11,3241666666667;54,5047222222222;11,3552777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,5047222222222;11,3552777777778;c(11.3241666666667, 11.3552777777778, 54.5272222222222, 54.5047222222222);3214,4089940228;22
22014;V;1,63;19;2;DEN;No;54,6211111111111;10,6508333333333;54,5980555555556;10,6508333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54,5980555555556;10,6508333333333;c(10.6508333333333, 10.6508333333333, 54.6211111111111, 54.5980555555556);2566,45966555169;22
22016;V;2,480063267;13;2;DEN;No;55,0858333333333;10,8019444444444;55,0519444444444;10,7686111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,0519444444444;10,7686111111111;c(10.8019444444444, 10.7686111111111, 55.0858333333333, 55.0519444444444);4332,17690738147;22
22018;V;2,269494257;13;2;DEN;No;55,0672222222222;11,0669444444444;55,0522222222222;11,0863888888889;55,0652777777778;11,085;55,035;11,1019444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,035;11,1019444444444;c(11.0669444444444, 11.0863888888889, 11.085, 11.1019444444444, 55.0672222222222, 55.0522222222222, 55.0652777777778, 55.035);7077,87875621684;22
22019;V;2,498094604;17;2;DEN;No;55,0622222222222;11,4041666666667;55,0558333333333;11,3425;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,0558333333333;11,3425;c(11.4041666666667, 11.3425, 55.0622222222222, 55.0558333333333);4004,18206289435;22
22020;V;2,634058149;18;2;DEN;No;55,2019444444445;10,9341666666667;55,2180555555556;10,9508333333333;55,2186111111111;10,9838888888889;55,2338888888889;10,985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,2338888888889;10,985;c(10.9341666666667, 10.9508333333333, 10.9838888888889, 10.985, 55.2019444444445, 55.2180555555556, 55.2186111111111, 55.2338888888889);5890,99906476326;22
22021;V;2,038348876;20;2;DEN;No;55,2358333333333;10,8352777777778;55,2338888888889;10,8344444444444;55,2175;10,8341666666667;55,2025;10,8336111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,2025;10,8336111111111;c(10.8352777777778, 10.8344444444444, 10.8341666666667, 10.8336111111111, 55.2358333333333, 55.2338888888889, 55.2175, 55.2025);3717,77645251501;22
22022;V;2,499074413;19;2;DEN;No;55,2352777777778;11,0508333333333;55,2341666666667;11,0180555555556;55,2319444444444;11,0016666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,2319444444444;11,0016666666667;c(11.0508333333333, 11.0180555555556, 11.0016666666667, 55.2352777777778, 55.2341666666667, 55.2319444444444);3160,63986589011;22
22023;V;2,49680013;15;2;DEN;No;55,3130555555556;11,0244444444444;55,2669444444444;11,0341666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,2669444444444;11,0341666666667;c(11.0244444444444, 11.0341666666667, 55.3130555555556, 55.2669444444444);5170,52339922078;22
22024;V;2,306584935;18;2;DEN;No;55,3525;9,75444444444445;55,4002777777778;9,74277777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,4002777777778;9,74277777777778;c(9.75444444444445, 9.74277777777778, 55.3525, 55.4002777777778);5370,29317472549;22
22025;V;2,499614753;19;2;DEN;No;55,3872222222222;10,8488888888889;55,3936111111111;10,9263888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,3936111111111;10,9263888888889;c(10.8488888888889, 10.9263888888889, 55.3872222222222, 55.3936111111111);4962,51031053081;22
22026;V;2,278922677;18;2;DEN;No;55,4177777777778;10,7694444444444;55,4172222222222;10,8361111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,4172222222222;10,8361111111111;c(10.7694444444444, 10.8361111111111, 55.4177777777778, 55.4172222222222);4222,31499198586;22
22027;V;2,310272905;17;2;DEN;No;55,6336111111111;10,0011111111111;55,6505555555556;10,0694444444444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,6505555555556;10,0694444444444;c(10.0011111111111, 10.0694444444444, 55.6336111111111, 55.6505555555556);4698,21584403165;22
22029;V;2,105211541;18;2;DEN;No;55,6502777777778;10,6519444444444;55,6177777777778;10,6858333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,6177777777778;10,6858333333333;c(10.6519444444444, 10.6858333333333, 55.6502777777778, 55.6177777777778);4200,98230703762;22
22030;V;2,501233583;18;2;DEN;No;55,7094444444445;10,2755555555556;55,7102777777778;10,2091666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,7102777777778;10,2091666666667;c(10.2755555555556, 10.2091666666667, 55.7094444444445, 55.7102777777778);4174,19610797812;22
22032;V;2,324290986;18;2;DEN;No;55,7686111111111;10,6688888888889;55,8002777777778;10,7336111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,8002777777778;10,7336111111111;c(10.6688888888889, 10.7336111111111, 55.7686111111111, 55.8002777777778);5377,67650666508;22
22033;V;2,3;19;2;DEN;No;55,9347222222222;10,4688888888889;55,9005555555556;10,4688888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,9005555555556;10,4688888888889;c(10.4688888888889, 10.4688888888889, 55.9347222222222, 55.9005555555556);3804,12796132622;22
22034;V;2,293086292;14;2;DEN;No;55,985;10,6344444444444;55,985;10,7013888888889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,985;10,7013888888889;c(10.6344444444444, 10.7013888888889, 55.985, 55.985);4178,46688292163;22
22035;V;2,202461055;20;2;DEN;No;55,9986111111111;10,8688888888889;55,9686111111111;10,9352777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,9686111111111;10,9352777777778;c(10.8688888888889, 10.9352777777778, 55.9986111111111, 55.9686111111111);5322,54384690725;22
22036;V;2,313716664;17;2;DEN;No;55,9175;11,2183333333333;55,885;11,2677777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55,885;11,2677777777778;c(11.2183333333333, 11.2677777777778, 55.9175, 55.885);4760,20514386007;22
