"NrHaul";"RectangleAlpha";"ICES.SD";"Latitude1_deg";"Latitude1_dec_min";"Longitude1_deg";"Longitude1_dec_min";"Layer";"EEZ"
"1";22003;"37G1";22;54;11.8;11;53.4;2;"GFR"
"2";22012;"38G0";22;54;25.22;11;31.07;2;"GFR"
"3";22016;"38G1";22;55;5.9;10;48.7;2;"DEN"
"4";22017;"39G0";22;55;0.41;11;3.57;2;"DEN"
"5";22018;"39G1";22;55;4.2;11;4.1;2;"DEN"
"6";22019;"39G1";22;55;3.44;11;24.15;2;"DEN"
"7";22020;"39G1";22;55;12.7;10;56.3;2;"DEN"
"8";22021;"39G0";22;55;14.9;10;50.7;2;"DEN"
"9";22025;"39G0";22;55;23.14;10;50.56;2;"DEN"
"10";22034;"40G0";22;55;59.6;10;38.4;2;"DEN"
"11";22035;"40G0";22;55;59;10;52.8;2;"DEN"
"12";22037;"40G1";22;55;58.9;11;1.8;2;"DEN"
"13";22043;"40G1";22;54;6.12;11;4.46;2;"GFR"
"14";22045;"37G1";22;54;17.28;11;18.11;2;"GFR"
"15";22058;"37G1";22;54;27.17;11;25.18;2;"GFR"
"16";22065;"37G1";22;54;36.4;10;38.58;2;"DEN"
"17";22078;"37G1";22;54;58.2;10;6.8;2;"DEN"
"18";22081;"37G1";22;55;6.3;9;59.28;2;"DEN"
"19";22103;"38G1";22;55;3.32;11;1.82;2;"DEN"
"20";22111;"38G0";22;54;54.83;10;3.2;2;"DEN"
"21";22112;"38G0";22;55;39.63;10;23.84;2;"DEN"
"22";22118;"38G5";22;55;37.77;10;20.59;2;"DEN"
"23";22121;"38G7";22;55;2.95;11;6.01;2;"DEN"
"24";22123;"38G9";22;54;27.49;10;35.55;2;"GFR"
"25";22125;"38G11";22;55;24.08;10;48.95;2;"DEN"
"26";22128;"38G14";22;54;48.83;10;9.5;2;"DEN"
"27";22131;"38G17";22;54;37.7;10;38.92;2;"DEN"
"28";22132;"38G18";22;54;14.1338;11;25.1236;2;"GFR"
"29";22135;"38G20";22;54;37.4;11;5;2;"GFR"
"30";22140;"38G25";22;54;25.9;11;37;2;"DEN"
"31";22141;"38G26";22;54;14.4;11;25.3;2;"GFR"
"32";22142;"38G27";22;54;15.9;11;30.1;2;"GFR"
"33";22145;"38G30";22;54;17.9;11;31.6;2;"GFR"
"34";24001;"37G4";24;54;23.05;12;11.63;2;"GFR"
"35";24002;"37G2";24;54;26.48;12;20.88;2;"GFR"
"36";24004;"37G2";24;54;29;14;45.2;2;"POL"
"37";24005;"37G3";24;54;39.6;12;11.2;2;"DEN"
